iter	RMSE
0	504.0022987
1	483.1259527
2	464.9589757
3	449.6093099
4	436.6470037
5	425.2193872
6	415.3825739
7	407.3660223
8	400.3274802
9	394.0282187
10	388.7505954
11	384.2080762
12	380.0022654
13	376.6631195
14	373.2922121
15	370.4762686
16	368.2168437
17	366.1392095
18	364.3016063
19	362.4478445
20	360.7608703
21	359.3148666
22	357.7932308
23	356.7095097
24	355.5413655
25	354.4894901
26	353.4314696
27	352.6117684
28	351.7512564
29	351.1378901
30	350.4756035
31	349.8268101
32	349.117959
33	348.471072
34	347.8518604
35	347.1945013
36	346.6959169
37	346.1023718
38	345.6274596
39	345.1746252
40	344.8845959
41	344.07329
42	343.4779607
43	343.0243546
44	342.6537731
45	342.221306
46	341.8100954
47	341.316846
48	340.9322824
49	340.6576098
50	340.3460651
51	340.0584999
52	339.8327483
53	339.525638
54	339.2524819
55	338.8473014
56	338.6079269
57	338.2191062
58	338.0770466
59	337.7483842
60	337.4189104
61	337.2065393
62	336.8317036
63	336.6319129
64	336.3092615
65	336.0075395
66	335.7449728
67	335.5505121
68	335.2295962
69	335.0382833
70	334.7561132
71	334.5647665
72	334.3598953
73	334.0442681
74	333.8718386
75	333.5951651
76	333.3572019
77	333.1700023
78	332.8923837
79	332.7898545
80	332.542345
81	332.2299126
82	332.0295033
83	331.8777571
84	331.7023325
85	331.2833748
86	331.2128493
87	331.0556531
88	330.8577868
89	330.4065743
90	330.1411766
91	329.8999165
92	329.5737292
93	329.298142
94	329.1411336
95	328.9574387
96	328.7623098
97	328.5452553
98	328.2527839
99	328.0703671
100	327.7649266
101	327.5469935
102	327.2578051
103	327.1487985
104	326.9488244
105	326.6443027
106	326.4500934
107	326.2718386
108	326.1034542
109	325.8881043
110	325.6699385
111	325.4128981
112	325.1591304
113	324.96731
114	324.7327632
115	324.6114214
116	324.4186405
117	324.1245783
118	323.9945879
119	323.7803231
120	323.5143243
121	323.293808
122	323.1016855
123	322.976094
124	322.8131004
125	322.6903469
126	322.395471
127	322.1438772
128	322.018222
129	321.8118383
130	321.5766063
131	321.4189243
132	321.2730179
133	321.1418314
134	320.9523765
135	320.8108964
136	320.6410542
137	320.5592665
138	320.3052132
139	320.1148055
140	319.9905874
141	319.8533638
142	319.6838877
143	319.4647642
144	319.3155158
145	319.1249033
146	318.9851188
147	318.8484829
148	318.6827244
149	318.3863704
150	318.3049706
151	318.1867848
152	317.9984015
153	317.8771604
154	317.7155282
155	317.5119383
156	317.4120473
157	317.2963204
158	317.1771464
159	316.9270414
160	316.8282037
161	316.7252
162	316.6161847
163	316.3609619
164	316.2513873
165	316.0921674
166	315.9827886
167	315.7849779
168	315.6960716
169	315.5643116
170	315.4262284
171	315.2837582
172	315.1553172
173	315.017119
174	314.864275
175	314.7388035
176	314.6008386
177	314.4465821
178	314.2837555
179	314.1712598
180	314.0429858
181	313.9716932
182	313.8510385
183	313.6719903
184	313.5661362
185	313.3894187
186	313.262145
187	313.1281355
188	313.046126
189	312.9326242
190	312.8032753
191	312.559468
192	312.4900138
193	312.3454224
194	312.257988
195	312.152849
196	312.0301846
197	311.8574999
198	311.7895977
199	311.6249265
200	311.4894156
201	311.3328696
202	311.203694
203	311.0643695
204	310.9279729
205	310.8443164
206	310.6577382
207	310.5867135
208	310.4665488
209	310.3972044
210	310.2417063
211	310.1117048
212	309.9673496
213	309.8189861
214	309.6725624
215	309.6129583
216	309.5402695
217	309.4346458
218	309.3230291
219	309.1664246
220	309.0503565
221	308.9648037
222	308.8539935
223	308.7843905
224	308.6605064
225	308.4209908
226	308.3238287
227	308.1997452
228	307.9989372
229	307.8665842
230	307.7375967
231	307.5332787
232	307.4434128
233	307.3264982
234	307.152272
235	306.9663441
236	306.8775966
237	306.7555278
238	306.6265499
239	306.5235513
240	306.3733201
241	306.3080408
242	306.1440454
243	306.0761188
244	305.9617894
245	305.8502796
246	305.7367257
247	305.6408991
248	305.5287402
249	305.4144894
250	305.3225565
251	305.2000265
252	305.0864277
253	304.9962077
254	304.8857749
255	304.7231847
256	304.651654
257	304.5402138
258	304.3884689
259	304.3013681
260	304.1954745
261	304.1190294
262	304.0305413
263	303.933032
264	303.8762855
265	303.8199499
266	303.7693515
267	303.6445304
268	303.5654765
269	303.4839732
270	303.4074839
271	303.319572
272	303.2082428
273	303.0973862
274	303.0229797
275	302.9109745
276	302.7662881
277	302.7080222
278	302.617937
279	302.4852965
280	302.3843711
281	302.2948288
282	302.221543
283	302.0075262
284	301.9162199
285	301.8040229
286	301.7144875
287	301.6259778
288	301.5153509
289	301.415827
290	301.2996392
291	301.2509209
292	301.172931
293	301.0986336
294	301.0340012
295	300.9599948
296	300.8663157
297	300.7784899
298	300.7394072
299	300.6847359
300	300.6022028
301	300.5264748
302	300.4116857
303	300.3026048
304	300.2287984
305	300.1111538
306	300.0197437
307	299.975037
308	299.9028947
309	299.8128563
310	299.7622831
311	299.716935
312	299.6567545
313	299.571585
314	299.4845338
315	299.4067751
316	299.3596152
317	299.2984823
318	299.2196263
319	299.1757335
320	299.0709062
321	298.9696122
322	298.8888197
323	298.8036486
324	298.6917771
325	298.6440606
326	298.6048875
327	298.508477
328	298.4622927
329	298.3513428
330	298.265359
331	298.1668594
332	298.123485
333	298.0669984
334	297.997519
335	297.9232613
336	297.8825113
337	297.8159551
338	297.7376644
339	297.6326983
340	297.5380618
341	297.4447806
342	297.3601822
343	297.304252
344	297.1936869
345	297.1429651
346	297.0665967
347	297.0057346
348	296.9111814
349	296.7818041
350	296.6955229
351	296.6263366
352	296.5851748
353	296.4716248
354	296.4028466
355	296.3644256
356	296.2537576
357	296.1875305
358	296.1237154
359	296.026632
360	295.9478859
361	295.8560023
362	295.7920104
363	295.732215
364	295.6567296
365	295.5973362
366	295.5356308
367	295.4945467
368	295.4375696
369	295.3467662
370	295.2725915
371	295.1734756
372	295.0904304
373	295.0525709
374	294.9815262
375	294.9289871
376	294.8829682
377	294.7921482
378	294.7512798
379	294.680874
380	294.5594394
381	294.4827028
382	294.4185577
383	294.2898871
384	294.2329062
385	294.1804288
386	294.0927627
387	294.0194607
388	293.9124966
389	293.814193
390	293.7488863
391	293.5935633
392	293.4684701
393	293.3807199
394	293.3260709
395	293.2433071
396	293.1908305
397	293.1491726
398	293.0750325
399	293.0437483
400	292.9575106
401	292.8691778
402	292.8105724
403	292.7289903
404	292.6655096
405	292.5967409
406	292.5565334
407	292.5040461
408	292.4621582
409	292.3896218
410	292.2925222
411	292.2356669
412	292.1437322
413	292.078874
414	292.0253749
415	291.9571484
416	291.8806978
417	291.8432427
418	291.7938194
419	291.7307836
420	291.6757431
421	291.6233292
422	291.5447996
423	291.4948332
424	291.4389753
425	291.3641654
426	291.2611076
427	291.1910083
428	291.1447287
429	291.033359
430	290.9827122
431	290.934147
432	290.8173989
433	290.7506287
434	290.6807506
435	290.5639091
436	290.516594
437	290.4917647
438	290.4235665
439	290.3778642
440	290.3214949
441	290.2463581
442	290.1646405
443	290.0523917
444	289.9568155
445	289.8779699
446	289.7924873
447	289.7119166
448	289.6700711
449	289.6139309
450	289.5542243
451	289.4595752
452	289.4149814
453	289.3321274
454	289.2292402
455	289.1629598
456	289.1078412
457	289.0334106
458	288.9884453
459	288.9167481
460	288.8754137
461	288.7894258
462	288.7158133
463	288.6148338
464	288.5644182
465	288.5048839
466	288.4400336
467	288.3847698
468	288.3134429
469	288.2514364
470	288.1785624
471	288.0877473
472	288.0328706
473	287.926191
474	287.7833793
475	287.7164547
476	287.6309865
477	287.574749
478	287.5425014
479	287.4987799
480	287.4321904
481	287.3668143
482	287.3044892
483	287.2468752
484	287.1514703
485	287.1041902
486	287.06549
487	286.9714607
488	286.9109879
489	286.8386381
490	286.7877509
491	286.7453978
492	286.6943396
493	286.6185882
494	286.5528606
495	286.5198295
496	286.4581007
497	286.3951573
498	286.3341693
499	286.2451288
500	286.1726759
501	286.1025781
502	286.0257008
503	285.9489145
504	285.8562085
505	285.791976
506	285.6558374
507	285.5948613
508	285.5648789
509	285.5168562
510	285.4529249
511	285.389234
512	285.3460923
513	285.2774746
514	285.1997761
515	285.1419604
516	285.1065425
517	285.0139686
518	284.9792788
519	284.914682
520	284.8629381
521	284.8100869
522	284.7631095
523	284.6994575
524	284.6358979
525	284.5821887
526	284.5359674
527	284.4955338
528	284.4417349
529	284.396004
530	284.3369611
531	284.2923663
532	284.238117
533	284.1721525
534	284.0985545
535	284.0211061
536	283.9808989
537	283.9222953
538	283.8749705
539	283.8279587
540	283.7808233
541	283.6776567
542	283.6219242
543	283.6214974
544	283.5599397
545	283.5036738
546	283.442718
547	283.3952453
