iter	Passed	Remaining
0	6	9505
1	12	9466
2	18	9403
3	25	9448
4	31	9384
5	37	9228
6	43	9202
7	49	9197
8	55	9235
9	62	9245
10	68	9269
11	74	9244
12	80	9232
13	87	9236
14	93	9236
15	99	9255
16	116	10149
17	122	10095
18	128	10052
19	135	10054
20	142	10039
21	149	10012
22	155	9980
23	161	9952
24	167	9870
25	172	9802
26	188	10300
27	194	10225
28	199	10144
29	206	10106
30	211	10036
31	217	9969
32	223	9933
33	229	9901
34	235	9862
35	242	9842
36	247	9796
37	253	9764
38	259	9718
39	265	9693
40	271	9657
41	277	9648
42	284	9623
43	290	9597
44	296	9571
45	302	9560
46	308	9543
47	315	9548
48	321	9527
49	327	9505
50	333	9485
51	339	9452
52	345	9427
53	350	9390
54	356	9354
55	361	9328
56	367	9309
57	374	9312
58	380	9290
59	386	9283
60	393	9283
61	398	9242
62	404	9222
63	410	9203
64	416	9185
65	422	9174
66	428	9158
67	433	9134
68	439	9109
69	444	9087
70	450	9064
71	456	9048
72	461	9030
73	477	9198
74	483	9179
75	488	9151
76	494	9129
77	499	9104
78	505	9088
79	510	9069
80	516	9046
81	522	9037
82	528	9021
83	534	9002
84	539	8978
85	545	8964
86	550	8945
87	556	8927
88	561	8906
89	567	8889
90	573	8872
91	578	8857
92	584	8845
93	590	8833
94	596	8815
95	601	8796
96	606	8775
97	612	8761
98	618	8747
99	623	8727
100	629	8718
101	635	8704
102	640	8688
103	645	8670
104	651	8654
105	657	8642
106	662	8625
107	668	8610
108	673	8593
109	679	8580
110	684	8566
111	700	8678
112	706	8668
113	711	8655
114	717	8644
115	722	8626
116	728	8612
117	734	8601
118	740	8598
119	748	8605
120	754	8596
121	759	8582
122	765	8572
123	771	8562
124	777	8552
125	782	8535
126	788	8526
127	794	8517
128	800	8507
129	806	8494
130	811	8483
131	817	8470
132	823	8459
133	828	8446
134	834	8439
135	839	8424
136	845	8410
137	850	8396
138	856	8389
139	862	8375
140	867	8361
141	873	8353
142	879	8342
143	884	8331
144	890	8318
145	905	8400
146	911	8387
147	917	8378
148	922	8365
149	928	8354
150	933	8342
151	939	8332
152	945	8321
153	950	8305
154	955	8294
155	961	8287
156	967	8277
157	973	8265
158	978	8253
159	984	8243
160	989	8232
161	995	8221
162	1001	8211
163	1006	8200
164	1012	8193
165	1018	8187
166	1024	8177
167	1030	8167
168	1036	8159
169	1042	8153
170	1048	8145
171	1054	8139
172	1059	8129
173	1065	8121
174	1071	8114
175	1077	8106
176	1083	8098
177	1089	8090
178	1095	8085
179	1101	8079
180	1107	8071
181	1113	8062
182	1119	8054
183	1125	8047
184	1131	8039
185	1136	8031
186	1142	8023
187	1148	8017
188	1154	8007
189	1160	8002
190	1166	7993
191	1172	7987
192	1178	7978
193	1183	7969
194	1189	7962
195	1195	7953
196	1201	7946
197	1207	7940
198	1213	7932
199	1219	7925
200	1225	7917
201	1231	7911
202	1237	7905
203	1243	7899
204	1249	7892
205	1255	7884
206	1261	7879
207	1266	7869
208	1272	7861
209	1278	7854
210	1284	7847
211	1290	7841
212	1296	7834
213	1302	7829
214	1309	7823
215	1314	7816
216	1320	7808
217	1326	7802
218	1332	7795
219	1338	7788
220	1344	7781
221	1350	7775
222	1356	7768
223	1362	7760
224	1368	7754
225	1374	7750
226	1381	7745
227	1387	7739
228	1393	7734
229	1399	7729
230	1405	7721
231	1411	7715
232	1417	7709
233	1424	7704
234	1430	7698
235	1436	7692
236	1442	7686
237	1448	7678
238	1453	7670
239	1459	7662
240	1465	7655
241	1471	7648
242	1478	7645
243	1483	7637
244	1489	7631
245	1495	7622
